,ST,CB,PB,GO,CA,RETURN,VOLAT
0,20,0,40,0,40,-0.20023939234615282,57.44969204823476
1,20,40,20,0,20,1.4554916931171569,57.66266979289021
2,20,40,20,20,0,6.83284693030604,58.383389690531224
3,80,0,0,0,20,3.8308088025150084,57.51655925256827
4,20,20,0,60,0,16.513735405244162,59.648420923974186
5,40,20,40,0,0,2.4801709612460408,57.656850337539986
6,60,40,0,0,0,4.8786759232945185,57.75987068244912
7,40,0,20,20,20,5.493883099229723,58.07128715339519
8,0,60,40,0,0,1.3850940078452665,57.825545270553114
9,0,60,0,0,40,-0.8883248730964296,57.67775653904846
10,40,20,0,40,0,12.169718813770436,58.951215577361026
11,0,0,0,60,40,14.461361125786468,59.55981623764018
12,0,20,0,40,40,10.561387167269737,59.09871806669483
13,0,40,20,40,0,10.836660252175665,59.06353325339246
14,100,0,0,0,0,5.133871216403721,57.60279187614612
15,40,40,0,0,20,3.060571535592221,57.66891057788151
16,0,20,20,60,0,14.006634238439265,59.44554501990577
17,40,0,0,0,60,0.09287241099727547,57.283730593778536
18,0,80,0,0,20,1.4039487595584055,57.97779188748988
19,0,0,20,20,60,2.275641025641023,57.99544894242782
20,60,0,0,40,0,11.33341746303073,58.72866818409007
21,0,40,0,0,60,-2.986519028649853,57.40165209273152
22,20,20,20,0,40,0.09606950419781457,57.488118046467235
23,0,0,60,40,0,6.728768587626702,58.481028490222876
24,0,20,20,0,60,-2.5401996677580114,57.37262726848991
25,40,20,20,0,20,2.0981590583393577,57.58272505892794
26,0,0,20,60,20,12.455215477530974,59.257485038763186
27,0,60,20,0,20,0.5545921258220029,57.771864836637846
28,0,20,40,0,40,-1.1249549503166418,57.505820794434506
29,20,0,40,20,20,4.149805096177344,58.03340894433464
30,0,20,0,0,80,-4.914280779030087,57.1467448841076
31,60,20,20,0,0,3.6703366388594376,57.661514246162504
32,20,0,0,60,20,14.77110800603186,59.43460791004591
33,0,0,20,40,40,7.695242247533927,58.675736619190495
34,20,0,20,0,60,-1.193965049386736,57.32216562308496
35,20,20,40,0,20,0.8798793308346283,57.58729262861589
36,20,20,40,20,0,5.262929726449044,58.17336551716679
37,40,0,60,0,0,1.8850846808584578,57.59943975018257
38,80,0,0,20,0,8.063449382528658,58.15169265497724
39,60,0,40,0,0,2.8514303009180844,57.597803775901205
40,0,0,100,0,0,0.22109917877447885,57.60653390863927
41,0,40,60,0,0,0.848087431693993,57.7244045260177
42,0,40,20,0,40,-1.0412161937393876,57.566398243685164
43,40,0,20,40,0,9.604884130874073,58.62893588206161
44,0,20,20,20,40,3.7612906125016905,58.183551061120866
45,20,80,0,0,0,4.38692044126676,58.04770785440623
46,0,20,60,0,20,-0.18526252663817344,57.5936630860393
47,20,0,20,20,40,4.086158552128477,58.03608454471506
48,20,40,0,20,20,7.461573658255523,58.48387104650342
49,0,0,60,0,40,-1.1778043711028419,57.46773885520031
50,40,40,0,20,0,8.785540978366688,58.47728338099496
51,60,20,0,0,20,3.50516008129438,57.58167440755199
52,0,0,40,20,40,2.683537098744217,58.00034931097544
53,0,80,0,20,0,10.251612477161176,59.08261561195199
54,40,0,40,0,20,1.4766210073276687,57.52920393675342
55,60,0,20,0,20,2.579705176551263,57.521692548210424
56,40,20,20,20,0,6.71188323938934,58.225792137958344
57,20,0,80,0,0,1.0126603240844332,57.60253372079485
58,0,0,80,0,20,-0.37944678281403826,57.54707337197892
59,40,0,0,40,20,10.646825345520845,58.75905714105206
60,0,40,40,0,20,0.09893023439870204,57.661984258940386
61,0,0,20,80,0,16.669078979109397,59.76054230856787
62,0,20,40,20,20,3.895788860857739,58.15265821488182
63,0,60,20,20,0,6.998745972030408,58.59062663865006
64,0,40,0,40,20,12.688849754379461,59.36127041885515
65,20,0,40,40,0,8.081492341135444,58.54795360509457
66,0,0,40,0,60,-2.290978095585188,57.35656775130733
67,20,0,0,80,0,19.163021326860438,59.9757489239448
68,20,60,20,0,0,2.890054509924931,57.846500373823105
